PhyloFlash header,Target sequence length,Closest hit to reference 16S,Reference sequence length,HD for closest hit
LIB.PFspades_23_419.524158,1004,Clostridium perfringensATCC 13124,1510,706
LIB.PFspades_23_419.524158,1004,Clostridium thermocellumVPI 7372 ATCC 27405,1526,695
LIB.PFspades_23_419.524158,1004,Coraliomargarita akajimensis DSM 45221,1551,709
LIB.PFspades_23_419.524158,1004,Corynebacterium glutamicum ATCC 13032,1522,699
LIB.PFspades_23_419.524158,1004,Desulfosporosinus acidiphilus SJ4 DSM 22704,1566,101
LIB.PFspades_23_419.524158,1004,Desulfosporosinus meridiei DSM 13257,1566,58
LIB.PFspades_23_419.524158,1004,Desulfotomaculum gibsoniae DSM 7213,1581,412
LIB.PFspades_23_419.524158,1004,E.coli K12 ATCC 700926,1538,702
LIB.PFspades_23_419.524158,1004,Echinicola vietnamensis DSM 17526,1519,703
LIB.PFspades_23_419.524158,1004,Fervidobacterium pennivorans DSM 9078,1153,699
LIB.PFspades_23_419.524158,1004,Frateuria aurantia DSM 6220,1541,703
LIB.PFspades_23_419.524158,1004,Halovivax ruber XH-70,1466,702
LIB.PFspades_23_419.524158,1004,Hirschia baltica ATCC 49814,1446,694
LIB.PFspades_23_419.524158,1004,Meiothermus silvanus DSM 9946,1490,708
LIB.PFspades_23_419.524158,1004,Natronobacterium gregoryi SP2,1464,695
LIB.PFspades_23_419.524158,1004,Natronococcus occultus DSM 3396,1463,689
LIB.PFspades_23_419.524158,1004,Nocardiopsis dassonvillei DSM 43111,1524,699
LIB.PFspades_23_419.524158,1004,Olsenella uli DSM 7084,1511,698
LIB.PFspades_23_419.524158,1004,Pseudomonas stutzeri RCH2,1531,697
LIB.PFspades_23_419.524158,1004,Salmonella bongori NCTC 12419,1538,700
LIB.PFspades_23_419.524158,1004,Salmonella enterica subsp. arizonae serovar 62 z4 z23 - strain RSK2980,1538,701
LIB.PFspades_23_419.524158,1004,Segniliparus rotundus DSM 44985,1513,706
LIB.PFspades_23_419.524158,1004,Spirochaeta smaragdinae DSM 11293,1540,703
LIB.PFspades_23_419.524158,1004,Streptococcus pyogenes M1 GAS,1545,700
LIB.PFspades_23_419.524158,1004,Terriglobus roseus DSM 18391,1498,697
LIB.PFspades_23_419.524158,1004,Thermobacillus composti KWC4,1603,432
