PhyloFlash header,Target sequence length,Closest hit to reference 16S,Reference sequence length,HD for closest hit
LIB.PFspades_11_26.585160,1514,Clostridium perfringensATCC 13124,1510,876
LIB.PFspades_11_26.585160,1514,Clostridium thermocellumVPI 7372 ATCC 27405,1526,1038
LIB.PFspades_11_26.585160,1514,Coraliomargarita akajimensis DSM 45221,1551,1004
LIB.PFspades_11_26.585160,1514,Corynebacterium glutamicum ATCC 13032,1522,548
LIB.PFspades_11_26.585160,1514,Desulfosporosinus acidiphilus SJ4 DSM 22704,1566,890
LIB.PFspades_11_26.585160,1514,Desulfosporosinus meridiei DSM 13257,1565,888
LIB.PFspades_11_26.585160,1514,Desulfotomaculum gibsoniae DSM 7213,1528,897
LIB.PFspades_11_26.585160,1514,E.coli K12 ATCC 700926,1538,971
LIB.PFspades_11_26.585160,1514,Echinicola vietnamensis DSM 17526,1519,1017
LIB.PFspades_11_26.585160,1514,Fervidobacterium pennivorans DSM 9078,1153,653
LIB.PFspades_11_26.585160,1514,Frateuria aurantia DSM 6220,1541,875
LIB.PFspades_11_26.585160,1514,Halovivax ruber XH-70,1466,998
LIB.PFspades_11_26.585160,1514,Hirschia baltica ATCC 49814,1446,891
LIB.PFspades_11_26.585160,1514,Meiothermus silvanus DSM 9946,1490,937
LIB.PFspades_11_26.585160,1514,Natronobacterium gregoryi SP2,1464,988
LIB.PFspades_11_26.585160,1514,Natronococcus occultus DSM 3396,1464,994
LIB.PFspades_11_26.585160,1514,Nocardiopsis dassonvillei DSM 43111,1530,740
LIB.PFspades_11_26.585160,1514,Olsenella uli DSM 7084,1511,1007
LIB.PFspades_11_26.585160,1514,Pseudomonas stutzeri RCH2,1531,954
LIB.PFspades_11_26.585160,1514,Salmonella bongori NCTC 12419,1538,966
LIB.PFspades_11_26.585160,1514,Salmonella enterica subsp. arizonae serovar 62 z4 z23 - strain RSK2980,1538,969
LIB.PFspades_11_26.585160,1514,Segniliparus rotundus DSM 44985,1513,0
LIB.PFspades_11_26.585160,1514,Spirochaeta smaragdinae DSM 11293,1539,921
LIB.PFspades_11_26.585160,1514,Streptococcus pyogenes M1 GAS,1545,981
LIB.PFspades_11_26.585160,1514,Terriglobus roseus DSM 18391,1498,762
LIB.PFspades_11_26.585160,1514,Thermobacillus composti KWC4,1603,937
