PhyloFlash header,Target sequence length,Closest hit to reference 16S,Reference sequence length,HD for closest hit
LIB.PFspades_1_46.766972,1545,Clostridium perfringensATCC 13124,1510,866
LIB.PFspades_1_46.766972,1545,Clostridium thermocellumVPI 7372 ATCC 27405,1526,776
LIB.PFspades_1_46.766972,1545,Coraliomargarita akajimensis DSM 45221,1551,926
LIB.PFspades_1_46.766972,1545,Corynebacterium glutamicum ATCC 13032,1522,1013
LIB.PFspades_1_46.766972,1545,Desulfosporosinus acidiphilus SJ4 DSM 22704,1566,742
LIB.PFspades_1_46.766972,1545,Desulfosporosinus meridiei DSM 13257,1565,890
LIB.PFspades_1_46.766972,1545,Desulfotomaculum gibsoniae DSM 7213,1581,907
LIB.PFspades_1_46.766972,1545,E.coli K12 ATCC 700926,1538,720
LIB.PFspades_1_46.766972,1545,Echinicola vietnamensis DSM 17526,1519,960
LIB.PFspades_1_46.766972,1545,Fervidobacterium pennivorans DSM 9078,1153,754
LIB.PFspades_1_46.766972,1545,Frateuria aurantia DSM 6220,1541,971
LIB.PFspades_1_46.766972,1545,Halovivax ruber XH-70,1466,967
LIB.PFspades_1_46.766972,1545,Hirschia baltica ATCC 49814,1443,939
LIB.PFspades_1_46.766972,1545,Meiothermus silvanus DSM 9946,1490,956
LIB.PFspades_1_46.766972,1545,Natronobacterium gregoryi SP2,1464,971
LIB.PFspades_1_46.766972,1545,Natronococcus occultus DSM 3396,1461,951
LIB.PFspades_1_46.766972,1545,Nocardiopsis dassonvillei DSM 43111,1524,986
LIB.PFspades_1_46.766972,1545,Olsenella uli DSM 7084,1511,921
LIB.PFspades_1_46.766972,1545,Pseudomonas stutzeri RCH2,1531,741
LIB.PFspades_1_46.766972,1545,Salmonella bongori NCTC 12419,1538,716
LIB.PFspades_1_46.766972,1545,Salmonella enterica subsp. arizonae serovar 62 z4 z23 - strain RSK2980,1538,714
LIB.PFspades_1_46.766972,1545,Segniliparus rotundus DSM 44985,1513,981
LIB.PFspades_1_46.766972,1545,Spirochaeta smaragdinae DSM 11293,1539,890
LIB.PFspades_1_46.766972,1545,Streptococcus pyogenes M1 GAS,1545,0
LIB.PFspades_1_46.766972,1545,Terriglobus roseus DSM 18391,1498,1004
LIB.PFspades_1_46.766972,1545,Thermobacillus composti KWC4,1603,748
