PhyloFlash header,Target sequence length,Closest hit to reference 16S,Reference sequence length,HD for closest hit
LIB.PFspades_24_594.813644,1327,Clostridium perfringensATCC 13124,1510,773
LIB.PFspades_24_594.813644,1327,Clostridium thermocellumVPI 7372 ATCC 27405,1526,479
LIB.PFspades_24_594.813644,1327,Coraliomargarita akajimensis DSM 45221,1551,703
LIB.PFspades_24_594.813644,1327,Corynebacterium glutamicum ATCC 13032,1522,775
LIB.PFspades_24_594.813644,1327,Desulfosporosinus acidiphilus SJ4 DSM 22704,1566,364
LIB.PFspades_24_594.813644,1327,Desulfosporosinus meridiei DSM 13257,1566,378
LIB.PFspades_24_594.813644,1327,Desulfotomaculum gibsoniae DSM 7213,1529,4
LIB.PFspades_24_594.813644,1327,E.coli K12 ATCC 700926,1538,781
LIB.PFspades_24_594.813644,1327,Echinicola vietnamensis DSM 17526,1519,810
LIB.PFspades_24_594.813644,1327,Fervidobacterium pennivorans DSM 9078,1505,799
LIB.PFspades_24_594.813644,1327,Frateuria aurantia DSM 6220,1541,716
LIB.PFspades_24_594.813644,1327,Halovivax ruber XH-70,1466,851
LIB.PFspades_24_594.813644,1327,Hirschia baltica ATCC 49814,1446,803
LIB.PFspades_24_594.813644,1327,Meiothermus silvanus DSM 9946,1490,824
LIB.PFspades_24_594.813644,1327,Natronobacterium gregoryi SP2,1464,851
LIB.PFspades_24_594.813644,1327,Natronococcus occultus DSM 3396,1461,841
LIB.PFspades_24_594.813644,1327,Nocardiopsis dassonvillei DSM 43111,1530,687
LIB.PFspades_24_594.813644,1327,Olsenella uli DSM 7084,1511,767
LIB.PFspades_24_594.813644,1327,Pseudomonas stutzeri RCH2,1532,763
LIB.PFspades_24_594.813644,1327,Salmonella bongori NCTC 12419,1538,778
LIB.PFspades_24_594.813644,1327,Salmonella enterica subsp. arizonae serovar 62 z4 z23 - strain RSK2980,1538,780
LIB.PFspades_24_594.813644,1327,Segniliparus rotundus DSM 44985,1513,785
LIB.PFspades_24_594.813644,1327,Spirochaeta smaragdinae DSM 11293,1540,799
LIB.PFspades_24_594.813644,1327,Streptococcus pyogenes M1 GAS,1546,737
LIB.PFspades_24_594.813644,1327,Terriglobus roseus DSM 18391,1498,680
LIB.PFspades_24_594.813644,1327,Thermobacillus composti KWC4,1603,612
