PhyloFlash header,Target sequence length,Closest hit to reference 16S,Reference sequence length,HD for closest hit
LIB.PFspades_6_78.150487,1533,Clostridium perfringensATCC 13124,1510,947
LIB.PFspades_6_78.150487,1533,Clostridium thermocellumVPI 7372 ATCC 27405,1526,880
LIB.PFspades_6_78.150487,1533,Coraliomargarita akajimensis DSM 45221,1551,929
LIB.PFspades_6_78.150487,1533,Corynebacterium glutamicum ATCC 13032,1521,1096
LIB.PFspades_6_78.150487,1533,Desulfosporosinus acidiphilus SJ4 DSM 22704,1566,849
LIB.PFspades_6_78.150487,1533,Desulfosporosinus meridiei DSM 13257,1566,895
LIB.PFspades_6_78.150487,1533,Desulfotomaculum gibsoniae DSM 7213,1581,866
LIB.PFspades_6_78.150487,1533,E.coli K12 ATCC 700926,1538,877
LIB.PFspades_6_78.150487,1533,Echinicola vietnamensis DSM 17526,1519,953
LIB.PFspades_6_78.150487,1533,Fervidobacterium pennivorans DSM 9078,1153,697
LIB.PFspades_6_78.150487,1533,Frateuria aurantia DSM 6220,1541,704
LIB.PFspades_6_78.150487,1533,Halovivax ruber XH-70,1466,970
LIB.PFspades_6_78.150487,1533,Hirschia baltica ATCC 49814,1446,900
LIB.PFspades_6_78.150487,1533,Meiothermus silvanus DSM 9946,1490,910
LIB.PFspades_6_78.150487,1533,Natronobacterium gregoryi SP2,1464,971
LIB.PFspades_6_78.150487,1533,Natronococcus occultus DSM 3396,1461,972
LIB.PFspades_6_78.150487,1533,Nocardiopsis dassonvillei DSM 43111,1524,916
LIB.PFspades_6_78.150487,1533,Olsenella uli DSM 7084,1511,1019
LIB.PFspades_6_78.150487,1533,Pseudomonas stutzeri RCH2,1532,0
LIB.PFspades_6_78.150487,1533,Salmonella bongori NCTC 12419,1538,879
LIB.PFspades_6_78.150487,1533,Salmonella enterica subsp. arizonae serovar 62 z4 z23 - strain RSK2980,1538,878
LIB.PFspades_6_78.150487,1533,Segniliparus rotundus DSM 44985,1513,962
LIB.PFspades_6_78.150487,1533,Spirochaeta smaragdinae DSM 11293,1539,951
LIB.PFspades_6_78.150487,1533,Streptococcus pyogenes M1 GAS,1545,854
LIB.PFspades_6_78.150487,1533,Terriglobus roseus DSM 18391,1498,1011
LIB.PFspades_6_78.150487,1533,Thermobacillus composti KWC4,1603,830
