PhyloFlash header,Target sequence length,Closest hit to reference 16S,Reference sequence length,HD for closest hit
LIB.PFspades_9_40.886155,1511,Clostridium perfringensATCC 13124,1510,1
LIB.PFspades_9_40.886155,1511,Clostridium thermocellumVPI 7372 ATCC 27405,1526,891
LIB.PFspades_9_40.886155,1511,Coraliomargarita akajimensis DSM 45221,1551,950
LIB.PFspades_9_40.886155,1511,Corynebacterium glutamicum ATCC 13032,1522,925
LIB.PFspades_9_40.886155,1511,Desulfosporosinus acidiphilus SJ4 DSM 22704,1657,901
LIB.PFspades_9_40.886155,1511,Desulfosporosinus meridiei DSM 13257,1565,902
LIB.PFspades_9_40.886155,1511,Desulfotomaculum gibsoniae DSM 7213,1528,898
LIB.PFspades_9_40.886155,1511,E.coli K12 ATCC 700926,1538,925
LIB.PFspades_9_40.886155,1511,Echinicola vietnamensis DSM 17526,1519,1088
LIB.PFspades_9_40.886155,1511,Fervidobacterium pennivorans DSM 9078,1153,661
LIB.PFspades_9_40.886155,1511,Frateuria aurantia DSM 6220,1541,949
LIB.PFspades_9_40.886155,1511,Halovivax ruber XH-70,1466,977
LIB.PFspades_9_40.886155,1511,Hirschia baltica ATCC 49814,1446,651
LIB.PFspades_9_40.886155,1511,Meiothermus silvanus DSM 9946,1490,903
LIB.PFspades_9_40.886155,1511,Natronobacterium gregoryi SP2,1464,979
LIB.PFspades_9_40.886155,1511,Natronococcus occultus DSM 3396,1464,983
LIB.PFspades_9_40.886155,1511,Nocardiopsis dassonvillei DSM 43111,1524,842
LIB.PFspades_9_40.886155,1511,Olsenella uli DSM 7084,1511,1093
LIB.PFspades_9_40.886155,1511,Pseudomonas stutzeri RCH2,1531,933
LIB.PFspades_9_40.886155,1511,Salmonella bongori NCTC 12419,1538,925
LIB.PFspades_9_40.886155,1511,Salmonella enterica subsp. arizonae serovar 62 z4 z23 - strain RSK2980,1538,922
LIB.PFspades_9_40.886155,1511,Segniliparus rotundus DSM 44985,1513,1087
LIB.PFspades_9_40.886155,1511,Spirochaeta smaragdinae DSM 11293,1539,872
LIB.PFspades_9_40.886155,1511,Streptococcus pyogenes M1 GAS,1545,869
LIB.PFspades_9_40.886155,1511,Terriglobus roseus DSM 18391,1498,1067
LIB.PFspades_9_40.886155,1511,Thermobacillus composti KWC4,1603,925
