PhyloFlash header,Target sequence length,Closest hit to reference 16S,Reference sequence length,HD for closest hit
LIB.PFspades_10_48.414023,1538,Clostridium perfringensATCC 13124,1510,925
LIB.PFspades_10_48.414023,1538,Clostridium thermocellumVPI 7372 ATCC 27405,1526,1066
LIB.PFspades_10_48.414023,1538,Coraliomargarita akajimensis DSM 45221,1551,968
LIB.PFspades_10_48.414023,1538,Corynebacterium glutamicum ATCC 13032,1521,995
LIB.PFspades_10_48.414023,1538,Desulfosporosinus acidiphilus SJ4 DSM 22704,1566,842
LIB.PFspades_10_48.414023,1538,Desulfosporosinus meridiei DSM 13257,1565,931
LIB.PFspades_10_48.414023,1538,Desulfotomaculum gibsoniae DSM 7213,1581,945
LIB.PFspades_10_48.414023,1538,E.coli K12 ATCC 700926,1538,19
LIB.PFspades_10_48.414023,1538,Echinicola vietnamensis DSM 17526,1519,958
LIB.PFspades_10_48.414023,1538,Fervidobacterium pennivorans DSM 9078,1153,703
LIB.PFspades_10_48.414023,1538,Frateuria aurantia DSM 6220,1541,978
LIB.PFspades_10_48.414023,1538,Halovivax ruber XH-70,1466,955
LIB.PFspades_10_48.414023,1538,Hirschia baltica ATCC 49814,1446,879
LIB.PFspades_10_48.414023,1538,Meiothermus silvanus DSM 9946,1490,926
LIB.PFspades_10_48.414023,1538,Natronobacterium gregoryi SP2,1464,945
LIB.PFspades_10_48.414023,1538,Natronococcus occultus DSM 3396,1463,937
LIB.PFspades_10_48.414023,1538,Nocardiopsis dassonvillei DSM 43111,1524,927
LIB.PFspades_10_48.414023,1538,Olsenella uli DSM 7084,1511,1007
LIB.PFspades_10_48.414023,1538,Pseudomonas stutzeri RCH2,1531,301
LIB.PFspades_10_48.414023,1538,Salmonella bongori NCTC 12419,1538,33
LIB.PFspades_10_48.414023,1538,Salmonella enterica subsp. arizonae serovar 62 z4 z23 - strain RSK2980,1538,10
LIB.PFspades_10_48.414023,1538,Segniliparus rotundus DSM 44985,1513,971
LIB.PFspades_10_48.414023,1538,Spirochaeta smaragdinae DSM 11293,1539,1017
LIB.PFspades_10_48.414023,1538,Streptococcus pyogenes M1 GAS,1545,724
LIB.PFspades_10_48.414023,1538,Terriglobus roseus DSM 18391,1498,1020
LIB.PFspades_10_48.414023,1538,Thermobacillus composti KWC4,1603,810
