PhyloFlash header,Target sequence length,Closest hit to reference 16S,Reference sequence length,HD for closest hit
LIB.PFspades_18_1021.366635,1567,Clostridium perfringensATCC 13124,1510,906
LIB.PFspades_18_1021.366635,1567,Clostridium thermocellumVPI 7372 ATCC 27405,1526,803
LIB.PFspades_18_1021.366635,1567,Coraliomargarita akajimensis DSM 45221,1551,868
LIB.PFspades_18_1021.366635,1567,Corynebacterium glutamicum ATCC 13032,1522,891
LIB.PFspades_18_1021.366635,1567,Desulfosporosinus acidiphilus SJ4 DSM 22704,1566,0
LIB.PFspades_18_1021.366635,1567,Desulfosporosinus meridiei DSM 13257,1566,76
LIB.PFspades_18_1021.366635,1567,Desulfotomaculum gibsoniae DSM 7213,1529,516
LIB.PFspades_18_1021.366635,1567,E.coli K12 ATCC 700926,1538,931
LIB.PFspades_18_1021.366635,1567,Echinicola vietnamensis DSM 17526,1519,936
LIB.PFspades_18_1021.366635,1567,Fervidobacterium pennivorans DSM 9078,1153,665
LIB.PFspades_18_1021.366635,1567,Frateuria aurantia DSM 6220,1541,851
LIB.PFspades_18_1021.366635,1567,Halovivax ruber XH-70,1466,947
LIB.PFspades_18_1021.366635,1567,Hirschia baltica ATCC 49814,1446,895
LIB.PFspades_18_1021.366635,1567,Meiothermus silvanus DSM 9946,1490,927
LIB.PFspades_18_1021.366635,1567,Natronobacterium gregoryi SP2,1464,938
LIB.PFspades_18_1021.366635,1567,Natronococcus occultus DSM 3396,1461,918
LIB.PFspades_18_1021.366635,1567,Nocardiopsis dassonvillei DSM 43111,1531,773
LIB.PFspades_18_1021.366635,1567,Olsenella uli DSM 7084,1511,987
LIB.PFspades_18_1021.366635,1567,Pseudomonas stutzeri RCH2,1532,894
LIB.PFspades_18_1021.366635,1567,Salmonella bongori NCTC 12419,1538,935
LIB.PFspades_18_1021.366635,1567,Salmonella enterica subsp. arizonae serovar 62 z4 z23 - strain RSK2980,1538,934
LIB.PFspades_18_1021.366635,1567,Segniliparus rotundus DSM 44985,1513,890
LIB.PFspades_18_1021.366635,1567,Spirochaeta smaragdinae DSM 11293,1539,892
LIB.PFspades_18_1021.366635,1567,Streptococcus pyogenes M1 GAS,1546,797
LIB.PFspades_18_1021.366635,1567,Terriglobus roseus DSM 18391,1498,818
LIB.PFspades_18_1021.366635,1567,Thermobacillus composti KWC4,1603,768
