PhyloFlash header,Target sequence length,Closest hit to reference 16S,Reference sequence length,HD for closest hit
LIB.PFspades_20_16.678230,1519,Clostridium perfringensATCC 13124,1510,1085
LIB.PFspades_20_16.678230,1519,Clostridium thermocellumVPI 7372 ATCC 27405,1526,975
LIB.PFspades_20_16.678230,1519,Coraliomargarita akajimensis DSM 45221,1551,986
LIB.PFspades_20_16.678230,1519,Corynebacterium glutamicum ATCC 13032,1521,1011
LIB.PFspades_20_16.678230,1519,Desulfosporosinus acidiphilus SJ4 DSM 22704,1566,935
LIB.PFspades_20_16.678230,1519,Desulfosporosinus meridiei DSM 13257,1565,917
LIB.PFspades_20_16.678230,1519,Desulfotomaculum gibsoniae DSM 7213,1581,936
LIB.PFspades_20_16.678230,1519,E.coli K12 ATCC 700926,1538,951
LIB.PFspades_20_16.678230,1519,Echinicola vietnamensis DSM 17526,1519,0
LIB.PFspades_20_16.678230,1519,Fervidobacterium pennivorans DSM 9078,1153,637
LIB.PFspades_20_16.678230,1519,Frateuria aurantia DSM 6220,1541,918
LIB.PFspades_20_16.678230,1519,Halovivax ruber XH-70,1466,981
LIB.PFspades_20_16.678230,1519,Hirschia baltica ATCC 49814,1446,890
LIB.PFspades_20_16.678230,1519,Meiothermus silvanus DSM 9946,1490,990
LIB.PFspades_20_16.678230,1519,Natronobacterium gregoryi SP2,1464,979
LIB.PFspades_20_16.678230,1519,Natronococcus occultus DSM 3396,1463,967
LIB.PFspades_20_16.678230,1519,Nocardiopsis dassonvillei DSM 43111,1531,998
LIB.PFspades_20_16.678230,1519,Olsenella uli DSM 7084,1511,971
LIB.PFspades_20_16.678230,1519,Pseudomonas stutzeri RCH2,1531,951
LIB.PFspades_20_16.678230,1519,Salmonella bongori NCTC 12419,1538,958
LIB.PFspades_20_16.678230,1519,Salmonella enterica subsp. arizonae serovar 62 z4 z23 - strain RSK2980,1538,960
LIB.PFspades_20_16.678230,1519,Segniliparus rotundus DSM 44985,1513,1016
LIB.PFspades_20_16.678230,1519,Spirochaeta smaragdinae DSM 11293,1540,881
LIB.PFspades_20_16.678230,1519,Streptococcus pyogenes M1 GAS,1546,940
LIB.PFspades_20_16.678230,1519,Terriglobus roseus DSM 18391,1498,1030
LIB.PFspades_20_16.678230,1519,Thermobacillus composti KWC4,1603,939
